CCI,NAME,ISOSMILES,InChI
MG,MAGNESIUM ION,[Mg+2],InChI=1S/Mg/q+2
ZN,ZINC ION,[Zn+2],InChI=1S/Zn/q+2
PO4,PHOSPHATE ION,[O-]P(=O)([O-])[O-],"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3"
AG,SILVER ION,[Ag+],InChI=1S/Ag/q+1
SO4,SULFATE ION,[O-]S(=O)(=O)[O-],"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2"
K,POTASSIUM ION,[K+],InChI=1S/K/q+1
,SODIUM ION,[Na+],InChI=1S/Na/q+1
CL,CHLORIDE ION,[Cl-],InChI=1S/ClH/h1H/p-1
CA,CALCIUM ION,[Ca+2],InChI=1S/Ca/q+2
MN,MANGANESE (II) ION,[Mn+2],InChI=1S/Mn/q+2
CD,CADMIUM ION,[Cd+2],InChI=1S/Cd/q+2
AF3,ALUMINUM FLUORIDE,F[Al](F)F,InChI=1S/Al.3FH/h;3*1H/q+3;;;/p-3
PR,PRASEODYMIUM ION,[Pr+3],InChI=1S/Pr/q+3
NI,NICKEL (II) ION,[Ni+2],InChI=1S/Ni/q+2
CU,COPPER (II) ION,[Cu+2],InChI=1S/Cu/q+2
CS,CESIUM ION,[Cs+],InChI=1S/Cs/q+1
PT,PLATINUM (II) ION,[Pt+2],InChI=1S/Pt/q+2
FES,FE2/S2 (INORGANIC) CLUSTER,S1[Fe]S[Fe]1,InChI=1S/2Fe.2S
MOS,DIOXOTHIOMOLYBDENUM(VI) ION,O=[Mo](=O)S,InChI=1S/Mo.2O.H2S/h;;;1H2/q+1;;;/p-1
FE,FE (III) ION,[Fe+3],InChI=1S/Fe/q+3
CO,COBALT (II) ION,[Co+2],InChI=1S/Co/q+2
BR,BROMIDE ION,[Br-],InChI=1S/BrH/h1H/p-1
POP,PYROPHOSPHATE 2-,OP(=O)([O-])OP(=O)(O)[O-],"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-2"
SF4,IRON/SULFUR CLUSTER,[S]12[Fe]3[S]4[Fe]1[S]5[Fe]2[S]3[Fe]45,InChI=1S/4Fe.4S
F3S,FE3-S4 CLUSTER,S1[Fe]2S[Fe]3[S]2[Fe]1S3,InChI=1S/3Fe.4S
F4S,FE4-S3 CLUSTER,[S]12[Fe][S]3[Fe]1[S]([Fe]2)[Fe]3,InChI=1S/4Fe.3S
UNX,UNKNOWN ATOM OR ION,*,
SF3,FE4-S3 CLUSTER,S1[Fe][S]2[Fe]1[S]([Fe]2)[Fe],InChI=1S/4Fe.3S
3NI,NICKEL (III) ION,[Ni+3],InChI=1S/Ni/q+3
LI,LITHIUM ION,[Li+],InChI=1S/Li/q+1
IOD,IODIDE ION,[I-],InChI=1S/HI/h1H/p-1
FE2,FE (II) ION,[Fe+2],InChI=1S/Fe/q+2
NO3,NITRATE ION,[N+](=O)([O-])[O-],InChI=1S/NO3/c2-1(3)4/q-1
NO2,NITRITE ION,N(=O)[O-],"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1"
FEO,MU-OXO-DIIRON,O([Fe])[Fe],InChI=1S/2Fe.O
BA,BARIUM ION,[Ba+2],InChI=1S/Ba/q+2
BO3,BORIC ACID,B(O)(O)O,InChI=1S/BH3O3/c2-1(3)4/h2-4H
GD,GADOLINIUM ATOM,[Gd],InChI=1S/Gd
NO,NITRIC OXIDE,[N]=O,InChI=1S/HNO/c1-2/h1H
HOA,HYDROXYAMINE,NO,"InChI=1S/H3NO/c1-2/h2H,1H2"
SO3,SULFITE ION,[O-]S(=O)[O-],"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)/p-2"
