SERIES,INCHIKEY,ISOSMILES,MULTIPLET,FRAGMENTS,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,REOS_violations,DL_score,SA_score,RMSD
31519,YSJWWWLQTQALJA-UHFFFAOYSA-N,CC(=O)c1cccc2[nH]c(CCNC(=O)COc3c[nH]nn3)nc12,"(pose_E325_0693_014, pose_H241_0929_021)",[1*]c1cc(C(C)=O)c2nc([8*])[nH]c2c1.[15*]c1cn([19*])nn1.[8*]CCNC(=O)CO[15*],328.332,0.621,6,3,4,0.546,0,125.65,0.569,0.738,0.886,0.218,0.192,0.272,0.079,0.109,0.035,0.411,0.092,0.086,0.109,0.879,1.0,0.004,0.004,0.25,0.014,0.005,0.045,0.009,0.519,0.249,0.097,0.01,0.05,0.011,0.029,0.384,0.161,-5.517,50.895,16.219,-38.686,-15.689,1.975,0.323,80.882,-3.165,-11.079,48.74,29.042,69.504,77.259,63.804,53.664,22.489,79.76,86.506,49.826,69.213,71.152,62.427,74.331,61.729,51.221,44.785,43.001,54.207,33.152,53.199,79.062,74.486,28.383,9.849,84.955,41.877,21.753,22.761,58.705,35.13,63.94,43.35,56.262,74.952,33.889,55.332,45.715,38.387,22.644,62.776,47.732,1.59,7.639,18.883,31.563,57.58,47.344,0.853,0,0.925,2.95,0.15
13358,KWXIOZPBQFMHLE-LBPRGKRZSA-N,O=c1[nH]c2ccccc2n1CNS(=O)(=O)CC[C@H]1C=CNCC1,"(pose_E325_0657_08, pose_H241_0941_020)",[1*][C@H]1C=CNCC1.[8*]n1c(=O)n([13*])c2ccccc21.[1*]CCS(=O)(=O)NC[13*],336.417,0.72,5,3,4,0.724,1,95.99,0.302,0.713,0.733,0.056,0.165,0.388,0.123,0.257,0.085,0.658,0.341,0.227,0.263,0.649,0.999,0.022,0.03,0.206,0.051,0.023,0.1,0.016,0.482,0.089,0.195,0.01,0.071,0.081,0.05,0.529,0.464,-5.375,44.615,13.608,-45.383,-13.462,2.752,0.289,72.315,-2.801,-11.597,50.64,30.167,59.112,77.259,63.804,78.17,54.808,65.219,66.576,47.305,41.179,53.509,58.899,86.623,68.748,71.19,59.015,68.05,73.905,62.815,73.245,62.195,67.546,69.29,59.519,82.047,61.148,57.309,55.564,67.623,33.54,49.981,60.45,55.37,80.302,60.876,64.909,60.799,61.574,28.034,57.774,44.63,0.969,17.294,64.715,31.097,46.413,54.634,0.814,0,0.871,3.753,0.29
55430,HYAUHBNJSWRCDX-UHFFFAOYSA-N,O=c1[nH]c2ccccc2n1CSCCCc1c[nH]nn1,"(pose_E325_0744_011, pose_H241_0941_016)",[1*]c1cn([5*])nn1.[8*]n1c(=O)n([13*])c2ccccc21.*C(CC[1*])SC[13*],289.364,1.771,5,2,4,0.678,0,79.36,0.413,0.795,0.841,0.356,0.207,0.206,0.077,0.151,0.076,0.471,0.255,0.064,0.315,0.778,0.999,0.004,0.003,0.19,0.018,0.008,0.076,0.022,0.49,0.116,0.101,0.021,0.073,0.013,0.034,0.702,0.314,-5.485,56.526,27.015,-32.476,-12.468,1.855,0.847,75.684,-2.694,-16.759,37.34,42.071,59.112,60.857,63.804,71.307,22.489,53.044,77.2,55.138,58.86,78.48,64.25,63.746,60.876,59.209,57.387,48.74,69.717,25.436,77.394,69.756,69.794,29.43,8.026,81.039,45.522,29.508,43.156,72.47,33.928,53.393,44.242,68.282,80.613,36.448,58.589,76.076,51.958,23.808,67.817,59.325,2.675,24.661,14.347,39.822,50.446,56.999,0.233,0,0.872,3.179,0.29
45608,SUDJEOUUSUJUFD-UHFFFAOYSA-N,N#Cc1cccc(CC(NC(=O)COc2ccc(Cl)cc2)C(=O)NCCO)c1,"(pose_E325_0707_021, pose_H241_0874_014)",[1*]c1ccc(Cl)cc1.[9*]c1cc([13*])cc(C#N)c1.[1*]OCC(=O)NC(C[9*])C(=O)NCCO,401.85,1.426,5,3,4,0.588,1,111.45,0.096,0.213,0.848,0.185,0.588,0.23,0.199,0.142,0.094,0.749,0.726,0.491,0.091,0.659,0.993,0.017,0.022,0.042,0.045,0.007,0.03,0.034,0.765,0.244,0.07,0.002,0.013,0.062,0.021,0.168,0.468,-5.356,53.012,16.575,39.44,-13.981,2.363,1.439,72.583,-3.501,-0.092,65.646,37.922,59.112,77.259,63.804,59.131,54.808,73.788,32.454,13.377,60.45,68.941,87.476,67.817,75.727,57.697,61.187,80.341,88.406,88.057,48.895,62.815,44.824,62.776,48.042,58.085,58.899,27.181,12.602,78.945,50.911,63.707,36.216,34.316,48.197,56.417,49.554,16.208,61.807,28.926,64.87,48.623,82.202,14.192,39.628,49.554,46.724,41.062,35.789,1,0.879,2.519,0.29
43358,ITULRBFIIAXVFJ-UHFFFAOYSA-N,NCc1ccc(CCCNC(=O)COc2c[nH]nn2)cc1,"(pose_E325_0705_023, pose_H241_0929_021)",[1*]c1ccc(CN)cc1.[10*]c1cn([14*])nn1.[1*]CCCNC(=O)CO[10*],289.339,0.391,5,3,4,0.61,0,105.92,0.538,0.826,0.898,0.257,0.315,0.076,0.062,0.184,0.059,0.388,0.239,0.211,0.135,0.331,0.999,0.004,0.007,0.038,0.024,0.011,0.087,0.004,0.378,0.128,0.077,0.008,0.037,0.009,0.006,0.713,0.175,-5.548,50.458,-17.671,-18.101,-12.692,2.659,-0.393,63.43,-1.918,-2.484,37.34,27.065,59.112,77.259,63.804,61.652,22.489,70.609,85.188,58.24,72.47,73.633,73.594,27.453,57.115,64.25,53.199,40.791,68.592,59.984,57.658,42.458,67.584,28.577,18.496,56.495,49.205,37.844,49.515,48.507,28.848,54.478,38.309,52.966,69.484,32.881,30.748,77.2,39.783,21.869,62.505,10.43,9.771,22.877,59.015,20.706,35.169,70.57,18.845,0,0.87,2.599,0.29
49055,KNIXRCIUGDPHJS-UHFFFAOYSA-N,O=C(CS(=O)(=O)Cc1cc(C(=O)O)ccc1Cl)N=C1C(=O)Nc2ccccc21,"(pose_E325_0719_021, pose_H241_0881_020)",[1*]c1ccc2c(c1)C(=[9*])C(=O)N2.[13*]c1cc(C(=O)O)ccc1Cl.[9*]=NC(=O)CS(=O)(=O)C[13*],420.83,1.921,5,2,4,0.759,0,129.97,0.107,0.524,0.854,0.099,0.183,0.495,0.214,0.02,0.072,0.196,0.1,0.498,0.231,0.97,0.901,0.018,0.049,0.046,0.013,0.013,0.107,0.078,0.093,0.133,0.143,0.025,0.019,0.074,0.024,0.354,0.11,-5.182,16.131,-13.749,53.395,-11.346,2.378,-0.39,79.159,-4.361,-4.12,69.95,44.475,59.112,60.857,63.804,83.404,22.489,80.535,35.052,32.299,61.38,59.868,61.031,93.059,76.968,14.269,56.611,23.226,55.409,88.755,69.562,94.765,25.902,64.366,72.237,59.713,41.528,42.885,58.705,88.833,12.99,55.021,52.617,71.501,56.766,59.325,51.764,42.226,31.369,37.611,29.159,13.106,88.096,32.997,40.481,20.744,55.603,24.699,11.516,0,0.864,2.731,0.29
32131,ZJMNLQURWBHBGC-UHFFFAOYSA-N,CC(=O)c1cccc2[nH]c(CCNC(=O)OCc3c[nH]nn3)nc12,"(pose_E325_0693_017, pose_H241_0929_02)",[1*]c1cc(C(C)=O)c2nc([8*])[nH]c2c1.[15*]c1cn([19*])nn1.[8*]CCNC(=O)OC[15*],328.332,1.352,6,3,4,0.586,0,125.65,0.8,0.911,0.926,0.389,0.359,0.256,0.12,0.089,0.044,0.358,0.149,0.11,0.181,0.942,1.0,0.004,0.002,0.47,0.011,0.004,0.055,0.008,0.575,0.224,0.197,0.038,0.036,0.02,0.112,0.354,0.103,-5.436,44.285,16.706,-22.835,-16.199,2.194,0.5,75.714,-2.556,-8.154,48.74,36.952,69.504,77.259,63.804,59.015,22.489,79.76,94.688,69.058,82.125,79.643,76.541,71.966,68.399,45.793,48.468,37.767,61.497,40.675,64.056,87.476,83.986,26.25,6.126,92.245,38.736,20.124,29.74,58.511,37.65,62.854,60.954,76.929,68.748,41.76,77.007,42.226,30.283,25.863,57.425,48.856,6.708,6.359,29.624,34.432,50.446,59.752,2.753,0,0.907,2.946,0.3
19082,CKNWIGZEHGWHKJ-UHFFFAOYSA-L,N#Cc1cccc(COP(=O)([O-])OP(=O)([O-])OCn2ccc3c(N)ncnc32)c1,"(pose_E325_0676_09, pose_H241_0874_01)",[1*]c1c([4*])n([6*])c2ncnc(N)c12.[14*]c1cc([18*])cc(C#N)c1.[6*]COP(=O)([O-])OP(=O)([O-])OC[18*],437.245,1.029,12,1,3,0.495,2,188.47,0.239,0.853,0.853,0.012,0.115,0.282,0.068,0.099,0.054,0.457,0.162,0.21,0.306,0.892,0.962,0.007,0.019,0.186,0.182,0.049,0.183,0.002,0.646,0.068,0.076,0.004,0.001,0.023,0.018,0.127,0.592,-5.413,22.545,21.741,23.752,-12.736,3.658,1.508,82.63,-2.289,3.04,73.168,32.959,92.323,36.681,20.919,46.413,68.864,90.074,58.434,61.768,61.264,35.363,52.23,75.533,58.666,48.468,51.609,47.654,62.97,59.868,76.851,80.109,31.95,39.667,43.311,80.729,83.792,76.503,77.356,31.097,42.226,46.917,38.271,43.893,13.339,43.311,46.956,9.422,67.856,26.755,35.324,54.711,70.415,22.528,95.037,50.64,60.023,64.405,61.497,1,0.857,4.273,0.3
55430,XXGAGYTXKHITBL-UHFFFAOYSA-N,O=C(NCCc1c[nH]nn1)OCn1c(=O)[nH]c2ccccc21,"(pose_E325_0744_011, pose_H241_0941_016)",[1*]c1cn([5*])nn1.[8*]n1c(=O)n([13*])c2ccccc21.[1*]CCNC(=O)OC[13*],302.294,0.374,6,3,4,0.629,0,117.69,0.716,0.915,0.833,0.207,0.248,0.225,0.1,0.057,0.017,0.272,0.12,0.095,0.103,0.939,1.0,0.002,0.001,0.245,0.007,0.003,0.044,0.007,0.247,0.071,0.098,0.013,0.032,0.006,0.04,0.603,0.099,-5.188,23.509,8.066,-11.736,-16.572,2.233,0.036,68.128,-2.541,-8.833,41.218,26.948,69.504,77.259,63.804,64.405,22.489,76.425,92.594,69.794,56.883,70.26,68.476,66.615,65.452,36.642,32.842,30.671,58.085,36.022,51.648,86.933,76.386,16.285,4.149,84.529,34.005,14.967,22.567,56.34,23.304,47.189,43.544,60.876,67.119,28.306,61.419,66.654,29.934,37.418,36.293,38.271,16.906,5.7,31.601,27.104,41.062,59.984,1.9,0,0.912,2.925,0.3
55025,PXJDWRKHSGNALY-UHFFFAOYSA-N,COC(=O)C(Cc1c[nH]nn1)NC(=O)CCc1cccc(C#N)c1,"(pose_E325_0744_011, pose_H241_0874_020)",[1*]c1cn([5*])nn1.[8*]c1cc([12*])cc(C#N)c1.[1*]CC(NC(=O)CC[12*])C(=O)OC,327.344,0.509,6,2,4,0.715,1,120.76,0.402,0.46,0.926,0.063,0.419,0.139,0.103,0.062,0.006,0.608,0.402,0.17,0.211,0.875,0.998,0.006,0.003,0.04,0.013,0.014,0.026,0.006,0.746,0.046,0.026,0.014,0.007,0.004,0.031,0.401,0.063,-5.121,39.854,27.049,-11.557,-14.393,2.56,-0.18,73.43,-2.775,2.819,48.546,27.995,69.504,60.857,63.804,76.89,54.808,78.402,76.386,28.034,82.241,54.517,79.876,48.003,65.917,38.116,19.465,61.458,76.425,53.16,67.817,78.402,59.364,35.518,8.492,57.697,40.83,44.164,9.771,54.246,49.399,41.295,19.62,61.962,35.867,23.653,56.262,47.732,23.885,41.373,53.548,59.364,17.138,12.02,52.423,23.265,47.654,55.06,59.558,0,0.854,3.136,0.3
