smiles,x,y,z,r,theta,phi,group_label
NCc1cccc(CON=Cc2ccc(O)c(C(=O)O)c2)c1,4.4024,-1.5302,1.0052,4.7679,1.3584,-0.3345,262
NCc1cccc(C=NOCc2ccc(O)c(C(=O)O)c2)c1,4.3767,-1.472,0.9779,4.72,1.3621,-0.3244,262
OCc1cccc(CC=CCC2OC[C@H]3OCC[C@H]3O2)c1,1.8533,-6.5426,2.4484,7.2274,1.2252,-1.2948,36
OCc1cccc(C=CCCC2OC[C@H]3OCC[C@H]3O2)c1,1.8389,-6.5547,2.4617,7.2391,1.2238,-1.2973,36
OCc1cccc(SCCCC2OC[C@H]3OCC[C@H]3O2)c1,1.7914,-6.5068,2.4707,7.187,1.2199,-1.3021,36
OCc1cccc(CCSCC2OC[C@H]3OCC[C@H]3O2)c1,1.7843,-6.5773,2.5253,7.2678,1.2159,-1.3059,36
OCc1cccc(CSSCC2OC[C@H]3OCC[C@H]3O2)c1,1.8421,-6.543,2.4499,7.2254,1.2249,-1.2964,36
OCc1cccc(CCCSC2OC[C@H]3OCC[C@H]3O2)c1,1.7423,-6.5201,2.4809,7.1905,1.2185,-1.3097,36
Cc1cc(N)nc(CC=Cc2cccc(CO)c2)c1,4.8702,-1.0922,0.1771,4.9943,1.5353,-0.2206,197
O=C(Cc1cc(Cl)ccc1C(=O)O)Nc1cccc(CO)c1,5.1537,-1.7038,-0.3587,5.4399,1.6368,-0.3193,167
O=C(O)c1cccc(C=NOCc2cccc(CO)c2)c1,4.2234,-1.2606,0.5757,4.445,1.4409,-0.2901,260
O=C(O)c1cccc(CON=Cc2cccc(CO)c2)c1,4.2456,-1.2444,0.5616,4.4597,1.4445,-0.2851,-1
O=C(O)c1ccccc1C(=O)CNc1cccc(CO)c1,5.1099,-1.6577,-0.3937,5.3865,1.6439,-0.3137,167
O=C(O)c1ccccc1C(=O)NCc1cccc(CO)c1,5.0943,-1.6433,-0.3549,5.3646,1.637,-0.312,167
O=C(O)c1ccccc1NCC(O)c1cccc(CO)c1,5.0828,-1.6009,-0.4449,5.3475,1.6541,-0.3051,167
O=C(O)c1ccccc1CC(O)Cc1cccc(CO)c1,5.0699,-1.6052,-0.4121,5.3339,1.6481,-0.3066,167
O=C(O)c1ccccc1C(O)C=Cc1cccc(CO)c1,5.0758,-1.5804,-0.4184,5.3326,1.6493,-0.3019,167
O=C(O)c1ccccc1C(O)CCc1cccc(CO)c1,5.0929,-1.6331,-0.4483,5.3671,1.6544,-0.3103,167
O=C(O)c1ccccc1C(O)CNc1cccc(CO)c1,5.0918,-1.618,-0.4246,5.3596,1.6501,-0.3077,167
O=C(O)c1ccccc1C(O)COc1cccc(CO)c1,5.0747,-1.6071,-0.4579,5.3428,1.6566,-0.3067,167
O=C(Cc1ccccc1C(=O)O)Nc1cccc(CO)c1,5.1378,-1.6874,-0.3694,5.4204,1.639,-0.3173,167
O=C(O)c1ccccc1C=CNc1cccc(CO)c1,5.1001,-1.6598,-0.3778,5.3767,1.6411,-0.3146,167
O=C(O)c1ccccc1CCC(O)c1cccc(CO)c1,5.088,-1.6435,-0.4439,5.3653,1.6536,-0.3124,167
O=C(NCc1ccccc1C(=O)O)c1cccc(CO)c1,5.1311,-1.6755,-0.3086,5.4066,1.6279,-0.3156,167
CC(=NCc1ccccc1C(=O)O)c1cccc(CO)c1,5.0568,-1.6371,-0.2058,5.3192,1.6095,-0.3131,167
O=C(O)c1ccccc1CSCc1cccc(CO)c1,5.0684,-1.6042,-0.2911,5.3242,1.6255,-0.3065,167
O=C(Nc1cccc(CO)c1)Oc1ccccc1C(=O)O,5.174,-1.7248,-0.3504,5.4652,1.635,-0.3218,167
O=C(O)c1ccc(CCCNc2cccc(CO)c2)cc1,5.0621,-1.5945,-0.4414,5.3256,1.6538,-0.3051,167
CC(N=Cc1ccc(O)c(C(=O)O)c1)c1cccc(CO)c1,4.7666,-1.8515,0.8863,5.1898,1.3992,-0.3705,-1
O=C(O)c1cc(C=NCc2cccc(CO)c2)ccc1O,4.8437,-1.8893,0.8685,5.2712,1.4053,-0.3719,-1
CC(=NCc1ccc(O)c(C(=O)O)c1)c1cccc(CO)c1,5.0515,-1.8381,0.6224,5.4114,1.4555,-0.349,-1
CN(N=Cc1ccc(O)c(C(=O)O)c1)c1cccc(CO)c1,4.764,-1.8412,0.8014,5.1699,1.4152,-0.3688,-1
O=C(Nc1cccc(CO)c1)Oc1ccc(O)c(C(=O)O)c1,5.2065,-1.7974,-0.2941,5.5159,1.6241,-0.3324,167
OCc1cccc(CCSC2=CN(O)CC=C2)c1,4.871,-1.239,-0.0178,5.0262,1.5743,-0.2491,197
O=C(O)c1ccccc1C=NOCc1cccc(CO)c1,4.2075,-1.2916,0.583,4.4397,1.4391,-0.2978,260
O=C(O)c1ccccc1CON=Cc1cccc(CO)c1,4.1816,-1.2659,0.5477,4.4033,1.4461,-0.294,-1
Cc1cc(C)nc(SCCc2cccc(CO)c2)n1,4.8597,-1.2324,-0.0224,5.0136,1.5753,-0.2484,197
NC1=NCc2ncn(CC=CCc3cccc(Cl)c3)c2N1,1.9903,0.5746,5.3932,5.7774,0.3667,0.281,94
Nc1cccc(CON=Cc2ccc(O)c(C(=O)O)c2)c1,4.4093,-1.5416,1.1289,4.8056,1.3337,-0.3363,262
Nc1cccc(C=NOCc2ccc(O)c(C(=O)O)c2)c1,4.4229,-1.5319,1.1249,4.814,1.335,-0.3334,262
Nc1cccc(C=CCOC2C(=O)Nc3ccccc32)n1,3.0452,3.1087,1.6281,4.6462,1.2128,0.7957,-1
